t,balanced_sigma,growth_rate,M_norm,parent_M_norm
172,0.12,0.0003,0.7513360239056203,1.836873417711883
173,0.12,0.0003,0.7165563401599824,1.836873417711883
174,0.12,0.0003,0.774233813423781,1.836873417711883
175,0.12,0.0003,0.7612560964136832,1.836873417711883
176,0.12,0.0003,0.743856271063526,1.836873417711883
177,0.12,0.0003,0.7464988091923074,1.836873417711883
178,0.12,0.0003,0.7785582582792676,1.836873417711883
179,0.12,0.0003,0.7894432376436064,1.836873417711883
180,0.12,0.0003,0.7425009329223842,1.836873417711883
181,0.12,0.0003,0.7284414231932123,1.836873417711883
182,0.12,0.0003,0.6644746659143432,1.836873417711883
183,0.12,0.0003,0.6337663520764961,1.836873417711883
184,0.12,0.0003,0.6786165263131276,1.836873417711883
185,0.12,0.0003,0.6796317653441721,1.836873417711883
186,0.12,0.0003,0.707899178556992,1.836873417711883
187,0.12,0.0003,0.737604495735996,1.836873417711883
188,0.12,0.0003,0.7601125973039842,1.836873417711883
189,0.12,0.0003,0.818936050239461,1.836873417711883
190,0.12,0.0003,0.7987726066916647,1.836873417711883
191,0.12,0.0003,0.7674928898555268,1.836873417711883
192,0.12,0.0003,0.7317784559596938,1.836873417711883
193,0.12,0.0003,0.6740731566849293,1.836873417711883
194,0.12,0.0003,0.6635014038701876,1.836873417711883
195,0.12,0.0003,0.6753510697701347,1.836873417711883
196,0.12,0.0003,0.6884574815065312,1.836873417711883
197,0.12,0.0003,0.7398145832994854,1.836873417711883
198,0.12,0.0003,0.7934878042047979,1.836873417711883
199,0.12,0.0003,0.7679751093409443,1.836873417711883
0,0.12,0.0008,0.12301105429972088,3.109884790134956
1,0.12,0.0008,0.1072247777238768,3.109884790134956
2,0.12,0.0008,0.1253762906901187,3.109884790134956
3,0.12,0.0008,0.1844641050171993,3.109884790134956
4,0.12,0.0008,0.2504012190759635,3.109884790134956
5,0.12,0.0008,0.2245638533856538,3.109884790134956
6,0.12,0.0008,0.2221161854772232,3.109884790134956
7,0.12,0.0008,0.17985463090288592,3.109884790134956
8,0.12,0.0008,0.13815767459129186,3.109884790134956
9,0.12,0.0008,0.06880991365324983,3.109884790134956
10,0.12,0.0008,0.06865116877534488,3.109884790134956
11,0.12,0.0008,0.0786130472617402,3.109884790134956
12,0.12,0.0008,0.11943172717686021,3.109884790134956
13,0.12,0.0008,0.24799517546300048,3.109884790134956
14,0.12,0.0008,0.3501371870065427,3.109884790134956
15,0.12,0.0008,0.35468614564490486,3.109884790134956
16,0.12,0.0008,0.4221521729702343,3.109884790134956
17,0.12,0.0008,0.40807710316667156,3.109884790134956
18,0.12,0.0008,0.3712704443771167,3.109884790134956
19,0.12,0.0008,0.42938087138511943,3.109884790134956
20,0.12,0.0008,0.4908166250723266,3.109884790134956
21,0.12,0.0008,0.39415957179078115,3.109884790134956
22,0.12,0.0008,0.4208699606884634,3.109884790134956
23,0.12,0.0008,0.35659376580305246,3.109884790134956
24,0.12,0.0008,0.38869472609756484,3.109884790134956
25,0.12,0.0008,0.4021884593049166,3.109884790134956
26,0.12,0.0008,0.24347564440908995,3.109884790134956
27,0.12,0.0008,0.2725199937300398,3.109884790134956
28,0.12,0.0008,0.22328264659284977,3.109884790134956
29,0.12,0.0008,0.21373242298873274,3.109884790134956
30,0.12,0.0008,0.28881189062051826,3.109884790134956
31,0.12,0.0008,0.26321846559546275,3.109884790134956
32,0.12,0.0008,0.3440814149912855,3.109884790134956
33,0.12,0.0008,0.3684274463564209,3.109884790134956
34,0.12,0.0008,0.4430046960878103,3.109884790134956
35,0.12,0.0008,0.45387088954438876,3.109884790134956
36,0.12,0.0008,0.5275846690173679,3.109884790134956
37,0.12,0.0008,0.6243237181123292,3.109884790134956
38,0.12,0.0008,0.5716419471196217,3.109884790134956
39,0.12,0.0008,0.5514275431589208,3.109884790134956
40,0.12,0.0008,0.5735597090619161,3.109884790134956
41,0.12,0.0008,0.6251620112945168,3.109884790134956
42,0.12,0.0008,0.5465728068839153,3.109884790134956
43,0.12,0.0008,0.5491508155448032,3.109884790134956
44,0.12,0.0008,0.5371474014167003,3.109884790134956
45,0.12,0.0008,0.5566142971289156,3.109884790134956
46,0.12,0.0008,0.4957730375984426,3.109884790134956
47,0.12,0.0008,0.5552254536335927,3.109884790134956
48,0.12,0.0008,0.5330887635766831,3.109884790134956
49,0.12,0.0008,0.5580270388951062,3.109884790134956
50,0.12,0.0008,0.5374269235863162,3.109884790134956
51,0.12,0.0008,0.581988570763866,3.109884790134956
52,0.12,0.0008,0.49083852384883764,3.109884790134956
53,0.12,0.0008,0.5639839335077295,3.109884790134956
54,0.12,0.0008,0.461042682237307,3.109884790134956
55,0.12,0.0008,0.5722383237356033,3.109884790134956
56,0.12,0.0008,0.6068690926550979,3.109884790134956
57,0.12,0.0008,0.6000778862357335,3.109884790134956
58,0.12,0.0008,0.6557173464767727,3.109884790134956
59,0.12,0.0008,0.7253394280183414,3.109884790134956
60,0.12,0.0008,0.8033920013499823,3.109884790134956
61,0.12,0.0008,0.7473662559402542,3.109884790134956
62,0.12,0.0008,0.8463322855758626,3.109884790134956
63,0.12,0.0008,0.8272160513500303,3.109884790134956
64,0.12,0.0008,0.8220267340045198,3.109884790134956
65,0.12,0.0008,0.8574572635511454,3.109884790134956
66,0.12,0.0008,0.9143609153114115,3.109884790134956
67,0.12,0.0008,0.8097252744707001,3.109884790134956
68,0.12,0.0008,0.8590647298146727,3.109884790134956
69,0.12,0.0008,0.9999999999991195,3.109884790134956
70,0.12,0.0008,0.8610185179545832,3.109884790134956
71,0.12,0.0008,0.8298761303953476,3.109884790134956
72,0.12,0.0008,0.8398051192587951,3.109884790134956
73,0.12,0.0008,0.8523219618679093,3.109884790134956
74,0.12,0.0008,0.8274309108192701,3.109884790134956
75,0.12,0.0008,0.7203401891101582,3.109884790134956
76,0.12,0.0008,0.7735427151361057,3.109884790134956
77,0.12,0.0008,0.8061204247082785,3.109884790134956
78,0.12,0.0008,0.8174693769029713,3.109884790134956
79,0.12,0.0008,0.7779905962450635,3.109884790134956
80,0.12,0.0008,0.7679838535807216,3.109884790134956
81,0.12,0.0008,0.7007036448289182,3.109884790134956
82,0.12,0.0008,0.5742536613573387,3.109884790134956
83,0.12,0.0008,0.5959363101092959,3.109884790134956
84,0.12,0.0008,0.529096040260152,3.109884790134956
85,0.12,0.0008,0.631141641182653,3.109884790134956
86,0.12,0.0008,0.5761091188359627,3.109884790134956
87,0.12,0.0008,0.5333795719150755,3.109884790134956
88,0.12,0.0008,0.560059513267494,3.109884790134956
89,0.12,0.0008,0.5882133114552336,3.109884790134956
90,0.12,0.0008,0.6747592739952856,3.109884790134956
91,0.12,0.0008,0.6605623306442041,3.109884790134956
92,0.12,0.0008,0.7033767065853791,3.109884790134956
93,0.12,0.0008,0.7429977354451678,3.109884790134956
94,0.12,0.0008,0.671486984866646,3.109884790134956
95,0.12,0.0008,0.6763199608563334,3.109884790134956
96,0.12,0.0008,0.6861181165821824,3.109884790134956
97,0.12,0.0008,0.6819486395713993,3.109884790134956
98,0.12,0.0008,0.6623300023616756,3.109884790134956
99,0.12,0.0008,0.6235204842443163,3.109884790134956
100,0.12,0.0008,0.6344088708046466,3.109884790134956
101,0.12,0.0008,0.6069446824115082,3.109884790134956
102,0.12,0.0008,0.6461853554549178,3.109884790134956
103,0.12,0.0008,0.6967987012877651,3.109884790134956
104,0.12,0.0008,0.6710851251112594,3.109884790134956
105,0.12,0.0008,0.6634221886863515,3.109884790134956
106,0.12,0.0008,0.6703630342599418,3.109884790134956
107,0.12,0.0008,0.651704895639078,3.109884790134956
108,0.12,0.0008,0.6804467753856263,3.109884790134956
109,0.12,0.0008,0.6356755385481626,3.109884790134956
110,0.12,0.0008,0.5552783849537314,3.109884790134956
111,0.12,0.0008,0.5396258516989058,3.109884790134956
112,0.12,0.0008,0.4369241945562418,3.109884790134956
113,0.12,0.0008,0.41341131068282055,3.109884790134956
114,0.12,0.0008,0.5319116710589564,3.109884790134956
115,0.12,0.0008,0.5666690991062208,3.109884790134956
116,0.12,0.0008,0.5493711020172387,3.109884790134956
117,0.12,0.0008,0.5329035184117612,3.109884790134956
118,0.12,0.0008,0.4663152283767418,3.109884790134956
119,0.12,0.0008,0.40217632062915804,3.109884790134956
120,0.12,0.0008,0.41508582494505186,3.109884790134956
121,0.12,0.0008,0.5012113857225856,3.109884790134956
122,0.12,0.0008,0.496884896441013,3.109884790134956
123,0.12,0.0008,0.47416322947491,3.109884790134956
124,0.12,0.0008,0.4757022135429244,3.109884790134956
125,0.12,0.0008,0.35782534586153436,3.109884790134956
126,0.12,0.0008,0.3191652478379056,3.109884790134956
127,0.12,0.0008,0.32718214441570326,3.109884790134956
128,0.12,0.0008,0.3131465453246405,3.109884790134956
129,0.12,0.0008,0.27508565393881873,3.109884790134956
130,0.12,0.0008,0.3469026823587312,3.109884790134956
131,0.12,0.0008,0.2682216700147721,3.109884790134956
132,0.12,0.0008,0.2754001715776128,3.109884790134956
133,0.12,0.0008,0.2891305089514449,3.109884790134956
134,0.12,0.0008,0.12531771071440254,3.109884790134956
135,0.12,0.0008,0.03647970658188485,3.109884790134956
136,0.12,0.0008,0.06312657835403318,3.109884790134956
137,0.12,0.0008,0.000666206079525344,3.109884790134956
138,0.12,0.0008,0.03220941812859445,3.109884790134956
139,0.12,0.0008,0.1139073125286888,3.109884790134956
140,0.12,0.0008,0.16578850396254136,3.109884790134956
141,0.12,0.0008,0.0973801883706597,3.109884790134956
142,0.12,0.0008,0.0,3.109884790134956
143,0.12,0.0008,0.04651820114985166,3.109884790134956
144,0.12,0.0008,0.02780402678857426,3.109884790134956
145,0.12,0.0008,0.10938141066013218,3.109884790134956
146,0.12,0.0008,0.10295825685984857,3.109884790134956
147,0.12,0.0008,0.23063493327877146,3.109884790134956
148,0.12,0.0008,0.3385738891791032,3.109884790134956
149,0.12,0.0008,0.2597050716288778,3.109884790134956
150,0.12,0.0008,0.2173947085536725,3.109884790134956
151,0.12,0.0008,0.19416459165818006,3.109884790134956
152,0.12,0.0008,0.2575836327866527,3.109884790134956
153,0.12,0.0008,0.24346290020165678,3.109884790134956
154,0.12,0.0008,0.24049733083714647,3.109884790134956
155,0.12,0.0008,0.2818459461653309,3.109884790134956
156,0.12,0.0008,0.24741731856720373,3.109884790134956
157,0.12,0.0008,0.28947712248531,3.109884790134956
158,0.12,0.0008,0.2299817984283707,3.109884790134956
159,0.12,0.0008,0.28544635994515644,3.109884790134956
160,0.12,0.0008,0.3431339765396447,3.109884790134956
161,0.12,0.0008,0.4387351763615964,3.109884790134956
162,0.12,0.0008,0.46161343649631636,3.109884790134956
163,0.12,0.0008,0.4250225474171541,3.109884790134956
164,0.12,0.0008,0.43405950349524225,3.109884790134956
165,0.12,0.0008,0.40791025791734126,3.109884790134956
166,0.12,0.0008,0.4515780308298476,3.109884790134956
167,0.12,0.0008,0.37893683420684116,3.109884790134956
168,0.12,0.0008,0.42486974516130466,3.109884790134956
169,0.12,0.0008,0.43313928389422063,3.109884790134956
170,0.12,0.0008,0.4573232914756571,3.109884790134956
171,0.12,0.0008,0.48813612896937536,3.109884790134956
172,0.12,0.0008,0.5026744256412563,3.109884790134956
173,0.12,0.0008,0.4636127850560686,3.109884790134956
174,0.12,0.0008,0.46361459819617806,3.109884790134956
175,0.12,0.0008,0.46026161671119953,3.109884790134956
176,0.12,0.0008,0.44774990443827656,3.109884790134956
177,0.12,0.0008,0.4752704264381511,3.109884790134956
178,0.12,0.0008,0.41293135006423853,3.109884790134956
179,0.12,0.0008,0.4729002537943205,3.109884790134956
180,0.12,0.0008,0.4664756848117846,3.109884790134956
181,0.12,0.0008,0.38779972364444043,3.109884790134956
